Fecha,Column 3,Column 4,Número
2020-07-12T12:16:29Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,10426
2020-07-12T13:16:34Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,13040
2020-07-12T14:16:34Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,16381
2020-07-12T15:16:35Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,20068
2020-07-13T04:31:28Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,
2020-07-13T05:36:27Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,
2020-07-13T06:31:27Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,
2020-07-13T07:36:29Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,
2020-07-13T08:36:30Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,
2020-07-13T09:41:29Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,
2020-07-13T10:41:30Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,
2020-07-13T11:36:33Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,
2020-07-13T12:41:37Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,13075
2020-07-13T13:41:39Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,17245
2020-07-13T14:41:39Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,21455
2020-07-13T15:41:39Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,25932
2020-07-14T01:56:28Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,48326
2020-07-14T02:51:27Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,49337
2020-07-14T03:56:26Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,50056
2020-07-14T04:56:24Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,
2020-07-14T05:56:25Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,
2020-07-14T06:56:27Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,
2020-07-14T08:01:29Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,
2020-07-14T09:01:29Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,
2020-07-14T10:01:26Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,
2020-07-14T11:01:34Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,
2020-07-14T12:06:34Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,11253
2020-07-14T13:01:38Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,14017
2020-07-14T14:06:43Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,17970
2020-07-14T15:07:58Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,21908
2020-07-14T16:07:45Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,25405
2020-07-15T02:22:36Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,43985
2020-07-15T03:17:30Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,44671
2020-07-15T05:22:32Z,#FelizMiércoles,http://twitter.com/search?q=%23FelizMi%C3%A9rcoles,
2020-07-15T06:22:32Z,#FelizMiércoles,http://twitter.com/search?q=%23FelizMi%C3%A9rcoles,
2020-07-15T07:22:35Z,#FelizMiércoles,http://twitter.com/search?q=%23FelizMi%C3%A9rcoles,
2020-07-15T08:22:33Z,#FelizMiércoles,http://twitter.com/search?q=%23FelizMi%C3%A9rcoles,
2020-07-15T09:22:34Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,
2020-07-15T10:27:35Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,
2020-07-15T11:27:37Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,
2020-07-15T12:27:39Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,12093
2020-07-15T13:27:42Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,15874
2020-07-15T14:32:44Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,20448
2020-07-15T15:32:45Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,24505
2020-07-15T16:27:46Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,27772
2020-07-15T17:32:48Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,31062
2020-07-15T18:32:50Z,Could Felipe,http://twitter.com/search?q=%22Could+Felipe%22,
2020-07-15T18:32:50Z,#FelipeVIesCómplice,http://twitter.com/search?q=%23FelipeVIesC%C3%B3mplice,
2020-07-15T19:37:47Z,Could Felipe,http://twitter.com/search?q=%22Could+Felipe%22,
2020-07-15T19:37:47Z,#FelipeVIesCómplice,http://twitter.com/search?q=%23FelipeVIesC%C3%B3mplice,
2020-07-15T20:37:48Z,Could Felipe,http://twitter.com/search?q=%22Could+Felipe%22,
2020-07-15T20:37:48Z,#FelipeVIesCómplice,http://twitter.com/search?q=%23FelipeVIesC%C3%B3mplice,
2020-07-15T21:37:47Z,Could Felipe,http://twitter.com/search?q=%22Could+Felipe%22,
2020-07-15T22:37:40Z,Could Felipe,http://twitter.com/search?q=%22Could+Felipe%22,
2020-07-15T23:37:34Z,Could Felipe,http://twitter.com/search?q=%22Could+Felipe%22,
2020-07-15T23:37:34Z,#FelipeVIesCómplice,http://twitter.com/search?q=%23FelipeVIesC%C3%B3mplice,
2020-07-16T00:42:34Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,
2020-07-16T00:42:34Z,#FelipeVIesCómplice,http://twitter.com/search?q=%23FelipeVIesC%C3%B3mplice,
2020-07-16T01:37:34Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,44364
2020-07-16T04:47:30Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,
2020-07-16T05:47:29Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,
2020-07-16T05:47:29Z,Could Felipe,http://twitter.com/search?q=%22Could+Felipe%22,
2020-07-16T06:47:32Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,
2020-07-16T06:47:32Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,
2020-07-16T07:42:33Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,
2020-07-16T07:42:33Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,
2020-07-16T08:47:33Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,
2020-07-16T09:47:34Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,
2020-07-16T09:47:34Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,
2020-07-16T10:52:36Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,
2020-07-16T10:52:36Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,
2020-07-16T11:52:49Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,
2020-07-16T12:52:53Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,12640
2020-07-16T13:52:57Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,15982
2020-07-16T14:57:59Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,19755
2020-07-16T17:58:02Z,Felicidades Carmen,http://twitter.com/search?q=%22Felicidades+Carmen%22,
2020-07-17T04:07:47Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,40911
2020-07-17T05:07:46Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,40644
2020-07-17T08:12:48Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-17T09:12:49Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-17T10:12:56Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-17T10:12:56Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,12757
2020-07-17T11:17:54Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-17T11:17:54Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,13467
2020-07-17T12:17:57Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-17T12:17:57Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,14215
2020-07-17T13:18:00Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-17T13:18:00Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,14758
2020-07-17T14:18:02Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,15408
2020-07-17T14:18:02Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-17T15:18:06Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,15934
2020-07-17T15:18:06Z,#FelizViernesATodos,http://twitter.com/search?q=%23FelizViernesATodos,
2020-07-17T16:23:07Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,16834
2020-07-17T16:23:07Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-17T17:23:10Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,17571
2020-07-17T17:23:10Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-17T18:23:09Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,18007
2020-07-17T18:23:09Z,#FelizViernesATodos,http://twitter.com/search?q=%23FelizViernesATodos,
2020-07-17T19:23:06Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,18483
2020-07-17T19:23:06Z,#FelizViernesATodos,http://twitter.com/search?q=%23FelizViernesATodos,10730
2020-07-18T02:27:50Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,20404
2020-07-18T02:27:50Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-18T03:32:49Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-18T03:32:49Z,#FelizViernesATodos,http://twitter.com/search?q=%23FelizViernesATodos,15184
2020-07-18T04:32:47Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,
2020-07-18T04:32:47Z,#FelizViernesATodos,http://twitter.com/search?q=%23FelizViernesATodos,15451
2020-07-18T05:32:46Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,
2020-07-18T05:32:46Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,20402
2020-07-18T05:32:46Z,#FelizViernesATodos,http://twitter.com/search?q=%23FelizViernesATodos,15555
2020-07-18T06:32:45Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,
2020-07-18T06:32:45Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,20548
2020-07-18T06:32:45Z,#FelizViernesATodos,http://twitter.com/search?q=%23FelizViernesATodos,15492
2020-07-18T07:32:46Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,
2020-07-18T07:32:46Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,21722
2020-07-18T07:32:46Z,#FelizViernesATodos,http://twitter.com/search?q=%23FelizViernesATodos,15334
2020-07-18T08:32:47Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,
2020-07-18T08:32:47Z,#FelizAlzamiento,http://twitter.com/search?q=%23FelizAlzamiento,
2020-07-18T08:32:47Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,23277
2020-07-18T09:37:49Z,#FelizAlzamiento,http://twitter.com/search?q=%23FelizAlzamiento,
2020-07-18T09:37:49Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,
2020-07-18T09:37:49Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,24629
2020-07-18T09:37:49Z,#FelizCumpleLOS40,http://twitter.com/search?q=%23FelizCumpleLOS40,
2020-07-18T10:37:49Z,#FelizAlzamiento,http://twitter.com/search?q=%23FelizAlzamiento,
2020-07-18T10:37:49Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,24905
2020-07-18T10:37:49Z,#FelizCumpleLOS40,http://twitter.com/search?q=%23FelizCumpleLOS40,
2020-07-18T11:37:51Z,#FelizAlzamiento,http://twitter.com/search?q=%23FelizAlzamiento,
2020-07-18T11:37:51Z,#FelizCumpleLOS40,http://twitter.com/search?q=%23FelizCumpleLOS40,
2020-07-18T12:37:53Z,#FelizAlzamiento,http://twitter.com/search?q=%23FelizAlzamiento,11600
2020-07-18T12:37:53Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,10456
